Year,Primary_Type,Count,Mean_Temp
2012,BATTERY,184,61
2012,CRIMINAL DAMAGE,118,61
2012,NARCOTICS,113,61
2012,ASSAULT,47,61
2012,BURGLARY,45,61
2012,BATTERY,170,61
2012,THEFT,168,61
2012,CRIMINAL DAMAGE,100,61
2012,NARCOTICS,93,61
2012,ASSAULT,57,61
2012,BURGLARY,43,61
2012,BATTERY,209,62.5
2012,THEFT,182,62.5
2012,CRIMINAL DAMAGE,117,62.5
2012,NARCOTICS,93,62.5
2012,BURGLARY,67,62.5
2012,ASSAULT,63,62.5
2012,THEFT,230,71.5
2012,BATTERY,189,71.5
2012,NARCOTICS,121,71.5
2012,CRIMINAL DAMAGE,90,71.5
2012,BURGLARY,74,71.5
2012,ASSAULT,71,71.5
2012,THEFT,215,57.5
2012,BATTERY,166,57.5
2012,NARCOTICS,117,57.5
2012,CRIMINAL DAMAGE,105,57.5
2012,BURGLARY,65,57.5
2012,ASSAULT,51,57.5
2012,THEFT,210,59.5
2012,BATTERY,174,59.5
2012,CRIMINAL DAMAGE,108,59.5
2012,NARCOTICS,100,59.5
2012,ASSAULT,65,59.5
2012,BURGLARY,61,59.5
2012,THEFT,225,69
2012,BATTERY,205,69
2012,CRIMINAL DAMAGE,131,69
2012,BURGLARY,69,69
2012,ASSAULT,62,69
2012,NARCOTICS,49,69
2012,BATTERY,225,75.5
2012,THEFT,169,75.5
2012,CRIMINAL DAMAGE,126,75.5
2012,NARCOTICS,73,75.5
2012,BURGLARY,63,75.5
2012,ASSAULT,50,75.5
2012,BATTERY,254,79
2012,THEFT,197,79
2012,CRIMINAL DAMAGE,118,79
2012,BURGLARY,52,79
2012,ASSAULT,49,79
2012,NARCOTICS,45,79
2012,THEFT,200,60.5
2012,BATTERY,145,60.5
2012,CRIMINAL DAMAGE,96,60.5
2012,NARCOTICS,64,60.5
2012,ASSAULT,61,60.5
2012,BURGLARY,50,60.5
2012,THEFT,209,60.5
2012,BATTERY,166,60.5
2012,CRIMINAL DAMAGE,110,60.5
2012,BURGLARY,78,60.5
2012,NARCOTICS,76,60.5
2012,ASSAULT,71,60.5
2012,THEFT,216,64.5
2012,BATTERY,202,64.5
2012,NARCOTICS,115,64.5
